cellIndex,x,y,z,vol,P,S,material,drain status
1,0.683012702,0.05,85.73651497,1.0,-85.73651497,0.08265928515931088,24,0
2,1.183012702,0.05,84.87048957,1.0,-84.87048957,0.08321503623704976,24,0
3,1.683012702,0.05,84.00446417,1.0,-84.00446417,0.08378026309388838,24,0
4,2.183012702,0.05,83.13843876,1.0,-83.13843876,0.030946986714375284,43,0
5,2.683012702,0.05,82.27241336,1.0,-82.27241336,0.07074160332278481,28,0
6,3.183012702,0.05,81.40638796,1.0,-81.40638796,0.07126893940224205,28,0
7,3.683012702,0.05,80.54036255,1.0,-80.54036255,0.07180589367209345,28,0
8,4.183012702,0.05,79.67433715,1.0,-79.67433715,0.0723527473958723,28,0
9,4.683012702,0.05,78.80831174,1.0,-78.80831174,0.12121135261102123,19,0
10,5.183012702,0.05,77.94228634,1.0,-77.94228634,0.12199396243824893,19,0
11,5.683012702,0.05,77.07626094,1.0,-77.07626094,0.12279040790413168,19,0
12,6.183012702,0.05,76.21023553,1.0,-76.21023553,0.12360109206679953,19,0
13,6.683012702,0.05,75.34421013,1.0,-75.34421013,0.0411723908965512,40,0
14,7.183012702,0.05,74.47818473,1.0,-74.47818473,0.019129149029504657,53,0
15,7.683012702,0.05,73.61215932,1.0,-73.61215932,0.01935570892441662,53,0
16,8.183012702,0.05,72.74613392,1.0,-72.74613392,0.030032544994952726,46,0
17,8.683012702,0.05,71.88010851,1.0,-71.88010851,0.08089384901157451,27,0
18,9.183012702,0.05,71.01408311,1.0,-71.01408311,0.08157550578302804,27,0
19,9.683012702,0.05,70.14805771,1.0,-70.14805771,0.08227134524260735,27,0
20,10.1830127,0.05,69.2820323,1.0,-69.2820323,0.18807162994100096,13,0
21,10.6830127,0.05,68.4160069,1.0,-68.4160069,0.1655911780111475,16,0
22,11.1830127,0.05,67.5499815,1.0,-67.5499815,0.07367210728385575,30,0
23,11.6830127,0.05,66.68395609,1.0,-66.68395609,0.07436410828645262,30,0
24,12.1830127,0.05,65.81793069,1.0,-65.81793069,0.019509023359020952,55,0
25,12.6830127,0.05,64.95190528,1.0,-64.95190528,0.01977682097343169,55,0
26,13.1830127,0.05,64.08587988,1.0,-64.08587988,0.02005196060219342,55,0
27,13.6830127,0.05,63.21985448,1.0,-63.21985448,0.06935034459658242,33,0
28,14.1830127,0.05,62.35382907,1.0,-62.35382907,0.07007177808283764,33,0
29,14.6830127,0.05,61.48780367,1.0,-61.48780367,0.07081092838665663,33,0
30,15.1830127,0.05,60.62177826,1.0,-60.62177826,0.10101562336112743,25,0
31,15.6830127,0.05,59.75575286,1.0,-59.75575286,0.018089963923054245,58,0
32,16.1830127,0.05,58.88972746,1.0,-58.88972746,0.018374149484635525,58,0
33,16.6830127,0.05,58.02370205,1.0,-58.02370205,0.03446202745384002,47,0
34,17.1830127,0.05,57.15767665,1.0,-57.15767665,0.03494738255796089,47,0
35,17.6830127,0.05,56.29165125,1.0,-56.29165125,0.035447127396019226,47,0
36,18.1830127,0.05,55.42562584,1.0,-55.42562584,0.18489087106400973,16,0
37,18.6830127,0.05,54.55960044,1.0,-54.55960044,0.1864198316609699,16,0
38,19.1830127,0.05,53.69357503,1.0,-53.69357503,0.13974730350832323,20,0
39,19.6830127,0.05,52.82754963,1.0,-52.82754963,0.14112248991008053,20,0
40,20.1830127,0.05,51.96152423,1.0,-51.96152423,0.14253407062108633,20,0
41,20.6830127,0.05,51.09549882,1.0,-51.09549882,0.2972712247560787,8,0
42,21.1830127,0.05,50.22947342,1.0,-50.22947342,0.29930527141533286,8,0
43,21.6830127,0.05,49.36344802,1.0,-49.36344802,0.28054618541901016,9,0
44,22.1830127,0.05,48.49742261,1.0,-48.49742261,0.12698033749642204,23,0
45,22.6830127,0.05,47.63139721,1.0,-47.63139720999999,0.12846187985732943,23,0
46,23.1830127,0.05,46.7653718,1.0,-46.7653718,0.1299881258098136,23,0
47,23.6830127,0.05,45.8993464,1.0,-45.8993464,0.07163816569062637,37,0
48,24.1830127,0.05,45.033321,1.0,-45.033321,0.12635241873831823,24,0
49,24.6830127,0.05,44.16729559,1.0,-44.16729559,0.12470771885777977,25,0
50,25.1830127,0.05,43.30127019,1.0,-43.30127019,0.12635950125942522,25,0
51,25.6830127,0.05,42.43524479,1.0,-42.43524479,0.3200846519119189,8,0
52,26.1830127,0.05,41.56921938,1.0,-41.56921938,0.3227162800437207,8,0
53,26.6830127,0.05,40.70319398,1.0,-40.70319398,0.3459520605891329,7,0
54,27.1830127,0.05,39.83716857,1.0,-39.83716857,0.3487693749408446,7,0
55,27.6830127,0.05,38.97114317,1.0,-38.97114317,0.35167032302607515,7,0
56,28.1830127,0.05,38.10511777,1.0,-38.10511777,0.0791192748188757,38,0
57,28.6830127,0.05,37.23909236,1.0,-37.23909236,0.14315593565033802,24,0
58,29.1830127,0.05,36.37306696,1.0,-36.37306695999981,0.14538350873316538,24,0
59,29.6830127,0.05,35.50704156,1.0,-35.507041559993915,0.05064084326605995,48,0
60,30.1830127,0.05,34.64101615,1.0,-34.64101614997279,0.05183913141201387,48,0
61,30.6830127,0.05,33.77499075,1.0,-33.77499074989684,0.06054177957657598,46,0
62,31.1830127,0.05,32.90896534,1.0,-32.908965339975765,0.06199379204516599,46,0
63,31.6830127,0.05,32.04293994,1.0,-32.042939939997105,0.05581075955735241,48,0
